Name	Another name	Abbr.	Commercial name		Type	Km Hki	Code	Section	Municipality	Traffic control		Private sidings	Shunting	Latitude	Longitude
Hyrkäs		Hyr			Liikennepaikka	800+442	01348	Oulu–Kontiomäki	Muhos	K				64.788806	26.22007
Hyrynsalmi		Hys			Liikennepaikka	704+601	00392	Kontiomäki–Ämmänsaari	Hyrynsalmi	M			K	64.683757	28.462708
HYVINKÄÄ		Hyv			Osiin jaettu liikennepaikka	–	–	Helsinki–Riihimäki, Hyvinkää–Karjaa	Hyvinkää	K				#N/A	#N/A
Hyvinkää asema	Hyvinge	Hy			Liikennepaikan osa (Hyvinkä	58+792	00030	Helsinki–Riihimäki, Hyvinkää–Karjaa	Hyvinkää			K	K	60.63126	24.857481
Hyvinkää tavara		Hyt	Hyvinkää		Liikennepaikan osa (Hyvinkä	60+179	01367		Hyvinkää			K	K	60.625655	24.846961
Hyvinkää Paavola		Pvl			Liikennepaikan osa (Hyvinkä	61+140	01368		Hyvinkää					60.650153	24.840155
Hämeenlinna	Tavastehus	Hl			Liikennepaikka	107+559	00047	Riihimäki–Tampere	Hämeenlinna	K		K	K	61.002368	24.478851
Härmä		Hm			Liikennepaikka	472+940	00300	Seinäjoki–Oulu	Kauhava	K			K	63.234321	22.876631
Höljäkkä		Höl			Seisake	765+261	00938	Joensuu–Nurmes	Nurmes			K	K	63.454874	29.44413
Ii		Ii			Liikennepaikka	789+165	00343	Oulu–Laurila	Ii	K				65.318819	25.441902
Iisalmen teollisuusraiteet	Keveli	Itr			Linjavaihde	548+611	01049	Pieksämäki–Kontiomäki	Iisalmi			K	K	63.545757	27.213924
Iisalmi	Idensalmi	Ilm			Liikennepaikka	550+360	00420	Iisalmi–Ylivieska, Pieksämäki–Kontiomäki	Iisalmi	K		K	K	63.560099	27.201109
Iittala		Ita			Seisake	129+286	00154	Riihimäki–Tampere	Hämeenlinna					61.090616	24.140789
Ilola		Ioa			Seisake	155+102	01345	Toijala–Valkeakoski	Valkeakoski					61.229936	23.875154
Ilomantsi	Ilomants	Ilo			Liikennepaikka	695+203	00459	Joensuu–Ilomantsi	Ilomantsi	M		K	K	62.666381	30.941562
IMATRA		Ima			Osiin jaettu liikennepaikka	–	–	Kouvola–Joensuu, Imatra tavara–Imatrankoski-raja	Imatra	K				#N/A	#N/A
Imatra asema		Imr	Imatra		Liikennepaikan osa (Imatra)	323+977	00603		Imatra					61.195914	28.776017
Imatra tavara		Imt			Liikennepaikan osa (Imatra)	326+542	00502		Imatra			K	K	61.208116	28.812093
Imatrankoski		Imk			Liikennepaikan osa (Imatra)	331+267	00504		Imatra			K	K	61.170432	28.788045
Immola		Im			Liikennepaikan osa (Imatra)	332+699	01352		Imatra				K	61.246855	28.883766
Pelkola		Pa			Liikennepaikan osa (Imatra)	335+672	01055		Imatra			K		61.13426	28.813728
Imatrankoski-raja		Imkr			Liikennepaikka	337+095	00503	Imatra tavara–Imatrankoski-raja	Imatra					61.124973	28.831782
Inha		In			Linjavaihde	341+367	00264	Orivesi–Seinäjoki	Ähtäri					62.550706	24.146053
Inkeroinen		Ikr			Liikennepaikka	212+781	00530	Kouvola–Kotka	Kouvola	K		K	K	60.696674	26.839178
Inkoo	Ingå	Iko			Liikennepaikka	70+620	00062	Helsinki–Turku satama	Inkoo	K				60.061511	23.93585
Isokyrö	Storkyro	Iky			Liikennepaikka	447+488	00295	Seinäjoki–Vaasa	Isokyrö	K				62.951072	22.394797
Jalasjärvi		Jal			Liikennepaikka	309+871	00276	Tampere–Seinäjoki	Kurikka	K				62.472534	22.954266
Jepua	Jeppo	Jpa			Liikennepaikka	495+784	00303	Seinäjoki–Oulu	Uusikaarlepyy	K			K	63.408383	22.655272
JOENSUU		Joe			Osiin jaettu liikennepaikka	–	–	Pieksämäki–Joensuu, Kouvola–Joensuu, Joensuu–Ilomantsi,		M				#N/A	#N/A
Joensuu Koppola		Kpp			Liikennepaikan osa	620+902	01369		Joensuu					62.572314	29.79147
Joensuu Sulkulahti		Sul			Liikennepaikan osa	622+650	01071		Joensuu				K	62.58571	29.775371
Joensuu Peltola		Plt			Liikennepaikan osa	623+540	01070		Joensuu			K	K	62.593453	29.771729
Joensuu asema		Jns	Joensuu		Liikennepaikan osa	624+313	00460		Joensuu			K	K	62.599536	29.777033
Onttola		Ont			Liikennepaikan osa (Joensuu	631+177	00443	Pieksämäki–Joensuu	Joensuu			K		62.635524	29.700477
Jokela		Jk			Liikennepaikka	47+937	00028	Helsinki–Riihimäki	Tuusula	K				60.552798	24.970682
Joroinen	Jorois	Jor			Linjavaihde	414+617	00431	Huutokoski–Savonlinna	Joroinen					62.17479	27.808684
Jorvas		Jrs			Seisake	32+322	00578	Helsinki–Turku satama	Kirkkonummi					60.137885	24.512776
Joutseno		Jts			Liikennepaikka	305+826	00499	Kouvola–Joensuu	Lappeenranta	K		K	K	61.120291	28.488252
Juankoski		Jki			Liikennepaikka	532+005	00414	Siilinjärvi–Viinijärvi	Kuopio	K			K	63.063182	28.318074
Jutila		Jut			Liikennepaikka	94+620	01085	Riihimäki–Kouvola	Kärkölä	K				60.837131	25.123661
Juupajoki		Jj			Seisake	246+580	00627	Orivesi–Seinäjoki	Juupajoki					61.796788	24.365046
Juurikorpi		Jri			Liikennepaikka	224+898	00535	Kouvola–Kotka, Juurikorpi–Hamina	Kotka	K				60.604162	26.938127
Jyväskylä		Jy			Liikennepaikka	340+970	00240	Jyväskylä–Pieksämäki, Haapamäki–Jyväskylä,	Jyväskylä	K		K	K	62.241455	25.754984
Jämsä		Jäs			Liikennepaikka	284+084	00204	Jämsä–Kaipola, Tampere–Jyväskylä	Jämsä	K			K	61.865627	25.173294
Jämsänkoski		Jsk			Liikennepaikka	287+917	00205	Tampere–Jyväskylä	Jämsä	K		K	K	61.89613	25.171247
Järvelä		Jr			Liikennepaikka	103+596	00095	Riihimäki–Kouvola	Kärkölä	K			K	60.867325	25.274659
JÄRVENPÄÄ		Jvp			Osiin jaettu liikennepaikka	–	–	Helsinki–Riihimäki		K				#N/A	#N/A
Järvenpää asema	Träskända	Jp	Järvenpää		Liikennepaikan osa	36+786	00025		Järvenpää					60.473684	25.090796
Saunakallio		Sau			Liikennepaikan osa	38+846	00806		Järvenpää			K		60.487305	25.065568
Purola		Pur			Liikennepaikan osa	40+533	00564		Järvenpää	K				60.500329	25.050225
Kaipiainen		Kpa			Liikennepaikka	214+451	00485	Kouvola–Joensuu	Kouvola	K		K	K	60.900137	27.117721
Kaipola		Kla			Liikennepaikka	290+303	00656	Jämsä–Kaipola	Jämsä			K	K	61.816678	25.214721
Kaitjärvi		Kjr			Liikennepaikka	226+912	00944	Kouvola–Joensuu	Luumäki	K				60.910768	27.346311
Kajaani	Kajana	Kaj			Liikennepaikka	633+491	00387	Pieksämäki–Kontiomäki, Kajaani–Lamminniemi	Kajaani	K			K	64.219716	27.738374
Kaleton		Ktn			Linjavaihde	320+875	00697	Haapamäki–Jyväskylä	Keuruu					62.239687	24.791661
Kalkku		Kau			Liikennepaikka	199+471	00639	Lielahti–Kokemäki	Tampere	K		K		61.496551	23.572333
Kalliovarasto		Kao			Linjavaihde	644+770	01090	Pieksämäki–Kontiomäki	Kajaani			K	K	64.281152	27.909191
Kalvitsa		Ksa			Liikennepaikka	330+634	00548	Kouvola–Pieksämäki	Mikkeli	K			K	61.910592	27.285129
Kangas		Kgs			Liikennepaikka	642+466	01092	Seinäjoki–Oulu	Ylivieska	K				64.143616	24.71276
Kannelmäki	Gamlas	Kan			Liikennepaikka	9+300	00658	Huopalahti–Havukoski	Helsinki	K				60.239562	24.877004
Kannonkoski		Ksi			Liikennepaikka	488+694	00256	Äänekoski–Haapajärvi	Kannonkoski	M				62.983598	25.270005
Kannus		Kns			Liikennepaikka	591+582	00317	Seinäjoki–Oulu	Kannus	K				63.898425	23.915361
Karhejärvi		Krr			Liikennepaikka	224+902	01095	Tampere–Seinäjoki	Ylöjärvi	K				61.750017	23.390356
Karhukangas		Khg			Liikennepaikka	622+897	01097	Seinäjoki–Oulu	Ylivieska	K				64.024376	24.43962
Karjaa	Karis	Kr			Liikennepaikka	157+817	00060	Helsinki–Turku satama, Hyvinkää–Karjaa, Karjaa–Hanko	Raasepori	K			K	60.068724	23.66126
Karkku		Kru			Liikennepaikka	230+733	00178	Lielahti–Kokemäki	Sastamala	K				61.443314	23.049129
Karviainen		Kar			Liikennepaikka	247+320	01100	Toijala–Turku	Aura	K				60.62317	22.558744
Kattilaharju		Kth			Liikennepaikka	205+556	01319	Kouvola–Joensuu	Kouvola	K				60.880135	26.959698
Kauhava		Kha			Liikennepaikka	455+728	00299	Seinäjoki–Oulu	Kauhava	K			K	63.099643	23.0353
Kauklahti	Köklax	Klh	Kauklahti		Liikennepaikka	24+277	00065	Helsinki–Turku satama	Espoo					60.189456	24.600354
Kaulinranta		Klr			Liikennepaikka	963+350	00790	Tornio–Kolari	Ylitornio	K				66.466907	23.712767
Kauniainen	Grankulla	Kni			Liikennepaikka	16+054	00067	Helsinki–Turku satama	Kauniainen	K			K	60.211939	24.730884
Kauppilanmäki		Kpl			Liikennepaikka	568+751	00423	Pieksämäki–Kontiomäki	Iisalmi	K				63.709557	27.227847
Kausala		Ka			Seisake	169+425	00477	Riihimäki–Kouvola	Iitti					60.885347	26.329366
Keitelepohja		Ktp			Liikennepaikka	519+256	00257	Äänekoski–Haapajärvi	Viitasaari	M			K	63.192764	25.54797
Kekomäki		Kek			Liikennepaikka	79+288	01101	Riihimäki–Kouvola	Hausjärvi	K				60.750527	24.911994
KEMI		Kmi			Osiin jaettu liikennepaikka	–	–	Oulu–Laurila, Kemi–Ajos		K				#N/A	#N/A
Kemi asema		Kem	Kemi		Liikennepaikan osa (Kemi)	858+300	00347	Oulu–Laurila, Kemi–Ajos	Kemi			K	K	65.736749	24.574339
Kemi Sahansaari		Shs			Liikennepaikan osa (Kemi)	861+275	01363	Oulu–Laurila	Kemi			K		65.757307	24.550275
Lautiosaari		Li			Liikennepaikan osa (Kemi)	863+064	00829	Lautiosaari–Elijärvi, Oulu–Laurila	Kemi	K				65.779047	24.565183
Kemijärvi		Kjä			Liikennepaikka	1056+399	00367	Kemijärvi–Kelloselkä, Laurila–Kemijärvi	Kemijärvi	K		K	K	66.724273	27.403715
Kempele		Kml			Liikennepaikka	741+075	00769	Seinäjoki–Oulu	Kempele	K			K	64.912904	25.514546
Kera		Kea			Seisake	14+536	00621	Helsinki–Turku satama	Espoo					60.216573	24.75564
KERAVA		Kev			Osiin jaettu liikennepaikka	–	–	Helsinki–Riihimäki, Kerava–Hakosilta, Kerava–Sköldvik,		K				#N/A	#N/A
Kerava asema	Kervo	Ke	Kerava		Liikennepaikan osa (Kerava)	28+869	00020		Kerava				K	60.404297	25.106028
Kytömaa		Kyt			Liikennepaikan osa (Kerava)	31+274	01111		Kerava					60.425639	25.110001
Kerimäki		Kiä			Liikennepaikka	495+531	00522	Savonlinna–Parikkala	Savonlinna	K			K	61.861412	29.114053
Kesälahti		Kti			Liikennepaikka	428+003	00966	Kouvola–Joensuu	Kitee	K			K	61.887467	29.802865
Keuruu		Keu			Liikennepaikka	316+041	00235	Haapamäki–Jyväskylä	Keuruu	K				62.255309	24.707325
Kilo		Kil			Seisake	13+035	00580	Helsinki–Turku satama	Espoo					60.217939	24.782393
Kilpua		Kua			Liikennepaikka	668+910	01115	Seinäjoki–Oulu	Oulainen	K				64.346567	24.961514
Kinahmi		Knh			Linjavaihde	508+922	00873	Siilinjärvi–Viinijärvi	Kuopio			K		63.142738	27.951398
Kinni		Kii			Liikennepaikka	247+982	01120	Kouvola–Pieksämäki	Mäntyharju	K				61.306328	26.846707
Kirjola		Kij			Linjavaihde	384+475	01123	Kouvola–Joensuu	Parikkala			K		61.536416	29.520088
Kirkkonummi	Kyrkslätt	Kkn			Liikennepaikka	37+503	00063	Helsinki–Turku satama	Kirkkonummi	K			K	60.119648	24.438814
Kirkniemi	Gerknäs	Krn			Liikennepaikka	136+261	00079	Hyvinkää–Karjaa	Lohja	K		K	K	60.175824	23.963456
Kitee		Kit			Liikennepaikka	460+016	00453	Kouvola–Joensuu	Kitee	K			K	62.142774	30.049014
Kiukainen		Kn			Liikennepaikka	297+395	00169	Kokemäki–Rauma	Eura	K				61.209665	22.089236
Kiuruvesi		Krv			Liikennepaikka	583+985	00417	Iisalmi–Ylivieska	Kiuruvesi	K		K	K	63.640907	26.611334
Kivesjärvi		Kvj			Liikennepaikka	878+146	00378	Oulu–Kontiomäki	Paltamo	K				64.468856	27.471464
Kivistö		Ktö			Seisake	18+279	01330	Huopalahti–Havukoski	Vantaa					60.314607	24.846938
Kohtavaara		Koh			Seisake	775+774	00848	Joensuu–Nurmes	Nurmes					63.514758	29.287006
Koivu		Kvu			Liikennepaikka	923+373	00362	Laurila–Kemijärvi	Tervola	K			K	66.16981	25.206795
